City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,klyuchi,52.2667,79.1667,290.2,92,98,4.85,RU,1691701002
132,uturoa,-16.7333,-151.4333,298.27,67,75,7.57,PF,1691700992
133,preston,53.7667,-2.7167,296.43,91,78,1.63,GB,1691701475
134,petropavlovsk-kamchatsky,53.0452,158.6483,282.48,87,0,4.0,RU,1691700977
135,rabo de peixe,37.8,-25.5833,295.88,83,40,3.6,PT,1691701475
136,tafuna,-14.3358,-170.72,303.12,79,40,4.63,AS,1691701475
137,thompson,55.7435,-97.8558,292.24,48,75,1.54,CA,1691700970
138,haiku-pauwela,20.9219,-156.3051,299.4,80,75,6.17,US,1691700974
139,voskresenskoye,56.8381,45.4317,292.33,76,18,0.8,RU,1691701191
140,badger,64.8,-147.5333,294.33,88,100,0.0,US,1691701011
141,saint-pierre,-21.3393,55.4781,292.97,68,0,3.09,RE,1691701026
142,sherpur,25.0188,90.0175,299.89,90,100,2.5,BD,1691701475
143,lata,40.1629,-8.3327,290.3,89,0,1.35,PT,1691700980
144,carutapera,-1.195,-46.02,299.57,80,77,4.68,BR,1691701016
145,mermoz boabab,14.7065,-17.4758,301.03,74,40,5.14,SN,1691701015
146,pades,45.0167,22.85,288.15,74,40,2.41,RO,1691701476
147,navojoa,27.1,-109.4333,309.83,48,43,1.34,MX,1691701289
148,belomorsk,64.5232,34.7668,289.58,83,5,2.26,RU,1691701476
149,tshabong,-26.05,22.45,285.61,36,0,3.43,BW,1691701476
150,george town,5.4112,100.3354,299.11,92,20,1.03,MY,1691701399
151,nadi,-17.8,177.4167,293.15,100,75,2.57,FJ,1691701008
152,egilsstadir,65.2653,-14.3948,283.1,76,20,4.12,IS,1691701003
153,carsamba,41.1989,36.7219,297.01,83,75,2.06,TR,1691701476
154,marshalltown,42.0494,-92.908,303.34,57,20,2.06,US,1691701477
155,mierlo,51.44,5.6194,293.62,81,2,1.03,NL,1691701477
156,yelizovo,53.1873,158.3805,283.23,87,0,4.0,RU,1691701003
157,moyynkum,44.2914,72.9469,302.33,26,85,2.28,KZ,1691701477
